"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","XX%","wFB","wSL","wCT","wFB/C","wSL/C","wCT/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxvFA","pfxvSI","pfxvSL","pfxFA-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwSI","pfxwSL","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFS%","piSI%","piSL%","pivFA","pivFS","pivSI","pivSL","piFA-X","piFS-X","piSI-X","piSL-X","piFA-Z","piFS-Z","piSI-Z","piSL-Z","piwFA","piwFS","piwSI","piwSL","piwFA/C","piwFS/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Richard Lovelady",19337,"2024-09-29","@BOS",12,2024,"TBR","A",28,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,79.1489231587868,76.9288520456552,3,0,1,0,0,0,0,0,3,7,10,0.0267600156366825,0,0.0267600156366825,0.546999990940094,0.0526974946260452,0.343600004911423,0.44200000166893,0.44200000166893,0.263600021600723,1,1,0.0777416974306107,0.000139604240444388,0,0,0.7,92.57142857,0.3,87.33333333,NA,NA,NA,0.461561530828476,0.174694165587425,NA,6.59373615469251,5.82313885291417,NA,0,0.83333333,0.5,NA,1,1,0.6,1,0,1,1,1,1,0,2,3,0.33333333,0.33333333,0.33333333,0.33333333,0,0.66666667,1.3270541498211,NA,NA,NA,39.80009,76.80321,24.83249,22.9539,53.21659,30.55285,35.59584,68.76079,21.38714,1.02029,5.60753,NA,NA,NA,142.82,79.6,122.8,103.76,74.74,68.58,131.102,78.142,106.534,NA,0.7,0.3,NA,92.5,87.4000040690104,NA,11.2033549717494,0.218422532081604,NA,2.89586857386998,1.98457956314087,NA,0.467557717114687,0.176661372184753,NA,6.67939595878124,5.88871240615845,0,0.83333333,0.5,NA,1,1,0.6,17.42857143,NA,NA,0.7,0.3,NA,NA,92.5250244140625,87.3910319010417,NA,NA,10.9155960083008,-0.566744248072306,NA,NA,1.67236260005406,0.762106974919637,NA,NA,0.467557717114687,0.176661372184753,NA,NA,6.67939595878124,5.88871240615845,0,0.83333333,0.5,NA,1,1,0.6,3,91.8751017252604,-21.394167582194,0,0,107.448,2,0.66666667,"2024-09-29",0
"Richard Lovelady",19337,"2024-09-25","@DET",12,2024,"TBR","A",28,0,0,13.500014081612,1,0,0,0,0,0,0,0,0.2,3,0,1,1,0,1,0,0,0,0,0,0,13.500014081612,0,0,0,0,1,1,0,0,0,0,0,0,0.33333333,-0.33333333,11.7253957421829,0,0,1.50000156462356,0,0,7.66648447216047,5.83352960945155,9.93449944721724,348.785340599479,194.328817367546,245.300732355027,1,0,0.5,0.5,0,0,0,0,8,6,14,0.0136080402880907,-0.018823990598321,0.0324320308864117,0.198000013828278,0.0208860784769058,0.594133317470551,0.498666673898697,0.532000005245209,0.654799997806549,1,1,0.0116056585684419,0.0112983595836208,0,0,0.57142857,92.125,0.42857143,86,NA,NA,NA,0.151376932859421,-0.00339458882808685,NA,1.89221166074276,-0.0565764804681142,NA,0.125,0.66666667,0.35714286,0,0.75,0.6,0.42857143,NA,0.14285714,1,1,0,1,1,0,2,0.5,0.5,0,0.5,0.5,0,6.03534706035915,20,53.73532,20,70.91958,44.80722,80,47.36689,42.17328,59.25131,31.2948,45.2509,41.12892,1.2875,6.00834,80.68,-89.4,-91.7,136.6,115.32,139.88,99.0766666666667,110.39,107.643333333333,108.535714285714,69.3385714285714,76.44,0.21428571,0.35714286,0.42857143,91.7999979654948,92.4200012207031,86.0999959309896,6.48869768778483,10.0045204162598,-0.80860161781311,8.19323603312174,4.26314964294434,3.36312993367513,-0.0144479386508465,0.164569560438395,-0.00461274012923241,-0.481597955028216,3.29139120876789,-0.0768790021538734,0.125,0.66666667,0.35714286,0,0.75,0.6,0.42857143,17.09090909,0.21428571,NA,0.35714286,0.42857143,92.0019734700521,NA,92.6242797851562,86.2914632161458,6.24441337585449,NA,9.82197418212891,-1.18043184280396,7.12043317159017,NA,2.95720596313477,2.15762599309285,-0.0144479386508465,NA,0.164569560438395,-0.00461274012923241,-0.481597955028216,NA,3.29139120876789,-0.0768790021538734,0.125,0.66666667,0.35714286,0,0.75,0.6,0.42857143,2,89.9486999511719,18.1818504333496,0,0,102.771,1,0.5,"2024-09-25",0
"Richard Lovelady",19337,"2024-09-22","TOR",12,2024,"TBR","H",28,0,0,0,1,0,0,0,0,0,1,0,0.2,4,2,0,0,0,0,0,0,0,0,2,27.000028163224,0,27.000028163224,2,0,0,1,0,1,0,0,0,0,0.5,0,0.5,0.324604084014893,0,0.5,3.00000312924711,1,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-74.4242691195584,-72.3367211985741,1,0.5,0.5,0,0,0,0,0,7,14,21,0.0114300101995468,-0.0779979974031448,0.0894280076026917,0.044000007212162,0.00483250990509987,1.67024993896484,2.13420009613037,2.13420009613037,4.13439989089966,1,1,-0.00540936831384897,0.012252661603613,0,0,0.57142857,92.66666667,0.42857143,86.66666667,NA,NA,NA,-0.606216371059418,0.19961804151535,NA,-5.05180309216181,2.21797823905945,NA,0.41666667,0.66666667,0.52380952,0.8,0.83333333,0.81818182,0.42857143,0.5,0.0952381,0,2,0,0,1,1,2,0,1,0,0,0.5,0.5,1.62719495611185,80,59.04905,80,20,77.0439,20,47.92681,49.39435,49.80863,71.8995,58.81597,68.90575,-1.23512,2.22441,106.82,160.78,169.98,133.4,-4.08,18.26,101.08,106.1,100.02,109.422857142857,105.94380952381,111.098095238095,0.38095238,0.19047619,0.42857143,92.875,92.0250015258789,86.6555582682292,6.78113842010498,11.1136789321899,-0.101567506790161,8.07429790496826,2.67367553710938,2.26805390252007,-0.497998882085085,-0.118308506906033,0.200970139354467,-6.22498602606356,-2.95771267265081,2.23300154838297,0.33333333,0.77777778,0.52380952,0.75,0.85714286,0.81818182,0.42857143,19.47058824,0.38095238,NA,0.19047619,0.42857143,92.8194885253906,NA,91.9779968261719,86.5816989474826,6.31928491592407,NA,11.022647857666,-0.738078064388699,6.73952388763428,NA,1.48318302631378,0.6852355533176,-0.497998882085085,NA,-0.118308506906033,0.200970139354467,-6.22498602606356,NA,-2.95771267265081,2.23300154838297,0.3,0.72727273,0.52380952,0.66666667,0.875,0.81818182,0.52380952,2,99.7757415771484,6.79254245758057,0,0,102.964,2,1,"2024-09-22",0
"Richard Lovelady",19337,"2024-09-18","BOS",12,2024,"TBR","H",28,0,0,0,1,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,79.1489231587868,76.9288520456552,1,0,1,0,0,0,0,0,1,2,3,0.0475960038602352,0,0.0475960038602352,0.479999989271164,0.0527182854712009,1.10400009155273,0.552000045776367,1.10400009155273,0.591199994087219,1,1,0.0431123189628124,-2.0086989710455e-10,0,0,1,91,NA,NA,NA,NA,NA,0.784760475158691,NA,NA,26.1586825052897,NA,NA,0.5,1,0.66666667,1,1,1,0.33333333,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1.3270541498211,NA,NA,NA,64.9831,80,46.43388,NA,NA,NA,73.14027,79.58648,51.19594,-1.31221,2.10878,NA,NA,NA,123.82,90.04,114.34,NA,NA,NA,123.82,90.04,114.34,NA,1,NA,NA,90.9000040690104,NA,NA,11.2184855143229,NA,NA,1.76160685221354,NA,NA,0.798711452633142,NA,NA,26.6237150877714,NA,0.5,1,0.66666667,1,1,1,0.33333333,20.5,NA,NA,1,NA,NA,NA,90.6640625,NA,NA,NA,11.2386334737142,NA,NA,NA,0.0915240049362183,NA,NA,NA,0.798711452633142,NA,NA,NA,26.6237150877714,NA,0.5,1,0.66666667,1,1,1,0.33333333,1,94.9514999389648,-1.1815083026886,0,0,94.9515,0,0,"2024-09-18",0
"Richard Lovelady",19337,"2024-09-15","@CLE",12,2024,"TBR","A",28,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,0,0,2,0,0,0,0,0.5,0,0.5,0.562229084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-23.233098233895,-22.5814263197472,0,1,0,0,0,0,0,0,2,13,15,0.0131000000983477,-0.00607599969953299,0.0191759988665581,0.480000019073486,0.0506329126656055,0.227400004863739,0.219200000166893,0.219200000166893,NA,0,1,0.0425259098410606,0.0150818290250724,0,0,0.6,93.33333333,0.4,87.16666667,NA,NA,NA,0.509326159954071,-0.20214831829071,NA,5.65917955504523,-3.36913863817851,NA,0.6,0.7,0.66666667,0,0.85714286,0.6,0.66666667,0.75,0.26666667,0,1,1,0,1,1,2,0,0.5,0.5,0,0.5,0.5,5.21201800710102,80,57.20529,80,80,66.10527,80,80,57.48133,80,80,58.91244,80,-3.1296,-0.61731,95.88,106.36,100.04,138.52,217,238.42,114.1,149.38,150.4,108.853333333333,138.32,138.634666666667,0.46666667,0.13333333,0.4,93.3714250837054,93.5999984741211,87.3666687011719,6.31892013549805,10.4327726364136,-0.0823415517807007,7.59616252354213,4.11803817749023,2.29053974151611,0.517790224403143,0.039364367723465,-0.206305991858244,7.39700320575919,1.96821838617325,-3.4384331976374,1,0.58333333,0.66666667,0,0.85714286,0.6,0.8,16.09090909,0.46666667,NA,0.13333333,0.4,93.4396275111607,NA,93.6777954101562,87.4212341308594,5.74501310076032,NA,9.80354499816895,-1.00990335146586,6.99370738438198,NA,3.28413486480713,1.56538597742716,0.517790224403143,NA,0.039364367723465,-0.206305991858244,7.39700320575919,NA,1.96821838617325,-3.4384331976374,1,0.58333333,0.66666667,0,0.85714286,0.6,0.8,2,98.4237060546875,14.2549877166748,0,0,104.363,1,0.5,"2024-09-15",0
"Richard Lovelady",19337,"2024-09-12","@CLE",12,2024,"TBR","A",28,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,79.1489231587868,76.9288520456552,3,0,1,0,0,0,0,0,2,4,6,0.0384880006313324,0,0.0384880006313324,0.479999989271164,0.0506329126656055,0.504800021648407,0.870400011539459,0.870400011539459,NA,0,1,0.0761683508753777,7.57041578435536e-05,0,0,0.33333333,92.5,0.66666667,86.75,NA,NA,NA,0.212085232138634,0.424170464277267,NA,10.6042616069317,10.6042616069317,NA,0.5,1,0.66666667,1,1,1,0.33333333,0.66666667,0,3,0,0,0,3,0,3,1,0,0,0,1,0,1.3270541498211,50.47763,68.2494,41.89487,NA,NA,NA,48.99562,41.75616,52.94064,50.76538,54.15289,50.06951,0.07786,4.19388,86.58,101.42,101.48,NA,NA,NA,83.12,106.66,101.28,84.2733333333333,104.913333333333,101.346666666667,0.33333333,NA,0.66666667,92.3500061035156,NA,86.6999969482422,4.6937894821167,NA,-0.693143367767334,7.64724063873291,NA,1.33578622341156,0.214739698916674,NA,0.429479379206896,10.7369849458337,NA,10.7369844801724,0.5,1,0.66666667,1,1,1,0.33333333,18.33333333,0.33333333,NA,NA,0.66666667,92.52099609375,NA,NA,86.8569488525391,4.04262495040894,NA,NA,-1.71178495883942,6.92287492752075,NA,NA,0.373150229454041,0.214739698916674,NA,NA,0.429479379206896,10.7369849458337,NA,NA,10.7369844801724,0.33333333,1,0.66666667,1,1,1,0.5,3,98.7131958007812,-12.8620961507161,0,0,104.001,2,0.66666667,"2024-09-12",0
"Richard Lovelady",19337,"2024-09-10","@PHI",12,2024,"TBR","A",28,0,1,27.000028163224,1,0,0,0,0,0,0,0,0.2,5,2,2,2,0,1,0,0,0,0,1,13.500014081612,13.500014081612,27.000028163224,1,0,0,2,0,1,0,0,0,0,0.2,0.2,0,4.94568908401489,0,0.5,4.50000469387067,0.666666666666667,0.33333333,4.66648134291335,22.3335468203107,4.66648134291335,697.570681198958,117.542221228373,114.245245356712,2,0.333333333,0.666666666,0,0,0,0,0,5,14,19,-0.128346040844917,-0.262516021728516,0.134169965982437,-0.673999965190887,-0.0690220147371292,2.04807996749878,1.70019996166229,1.48020005226135,3.13680005073547,1,1,-0.0833680331707001,0.0207015148307643,0,1,0.42105263,92.125,0.57894737,84.81818182,NA,NA,NA,-1.28399384021759,0.22638937830925,NA,-16.0499230027199,2.05808525735682,NA,0.45454545,0.75,0.57894737,0.8,0.83333333,0.81818182,0.42105263,0.6,0.10526316,1,1,1,0,1,2,3,0.33333333,0.33333333,0.33333333,0,0.33333333,0.66666667,5.93466504398886,NA,NA,NA,28.0795,57.45399,20,56.26815,51.6256,65.07871,46.32325,56.93662,43.78226,0.35383,4.60784,NA,NA,NA,121.52,40.74,53.5,101.276363636364,106.743636363636,103.176363636364,109.8,78.9526315789474,82.26,NA,0.42105263,0.57894737,NA,92.0875015258789,84.8545476740057,NA,8.97583484649658,-2.83634393865412,NA,2.48171925544739,1.79040960832076,NA,-1.30248945951462,0.227710124105215,NA,-16.2811182439327,2.07009203732014,0.45454545,0.75,0.57894737,0.8,0.83333333,0.81818182,0.42105263,18.57142857,NA,NA,0.42105263,0.57894737,NA,NA,91.7058868408203,84.4327281605114,NA,NA,8.46678352355957,-3.79651468450373,NA,NA,1.22700774669647,0.637938889590177,NA,NA,-1.30248945951462,0.227710124105215,NA,NA,-16.2811182439327,2.07009203732014,0.5,0.71428571,0.57894737,0.83333333,0.8,0.81818182,0.36842105,3,94.0401814778646,6.0301144917806,0,0,103.411,2,0.66666667,"2024-09-10",0
"Richard Lovelady",19337,"2024-09-08","@BAL",12,2024,"TBR","A",28,0,0,0,1,0,0,0,0,0,1,0,1.1,4,0,0,0,0,0,0,0,0,0,1,6.75000160932579,0,0,1,0,0,3,0,0,0,0,0,0,0.25,0,0.25,-0.797583415985107,0,0,0,0,1,1.66647942066184,-1.66647942066184,1.66647942066184,0,40.7556559828629,39.612488761715,3,0,1,0,0,0,0,0,5,9,14,0.166860014200211,0,0.166860014200211,1.05799996852875,0.113763444125652,1.72749996185303,1.79333341121674,2.3840000629425,1.01199996471405,1,1,0.0985366404056549,-0.00194618142745279,1,0,0.5,92.57142857,0.5,86.42857143,NA,NA,NA,0.404456824064255,0.614623665809631,NA,5.77795462948935,8.78033808299473,NA,0.33333333,0.8,0.5,0.66666667,1,0.85714286,0.35714286,0.5,0.07142857,2,1,0,0,3,0,3,0.66666667,0.33333333,0,0,1,0,0.153269977089712,49.72176,45.58503,55.93816,50.18597,76.42141,41.61957,51.18003,41.3744,52.48463,53.50542,54.9654,50.98776,-0.09237,3.93854,105.94,59.66,35.08,115.24,112.12,128.5,87.3714285714286,108.877142857143,109.02,99.9771428571429,103.004285714286,105.414285714286,0.14285714,0.35714286,0.5,93.8000030517578,92.1599975585937,86.2857142857143,5.73922729492188,10.0075103759766,-0.947410311017718,7.67845916748047,2.3390495300293,1.6997515814645,0,0.409482218325138,0.622093964368105,0,8.18964436650276,8.88705663383007,0.28571429,0.71428571,0.5,0.5,1,0.85714286,0.5,21,0.14285714,NA,0.35714286,0.5,93.8562469482422,NA,92.2535400390625,86.3622349330357,5.07466983795166,NA,9.61197967529297,-1.82078388759068,6.81620502471924,NA,1.09720773696899,0.538247925894601,0,NA,0.409482218325138,0.622093964368105,0,NA,8.18964436650276,8.88705663383007,0.28571429,0.71428571,0.5,0.5,1,0.85714286,0.5,3,91.2717081705729,-6.47333526611328,0,0,98.7582,1,0.33333333,"2024-09-08",0
"Richard Lovelady",19337,"2024-09-06","@BAL",12,2024,"TBR","A",28,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,3,0,0,0,0,0,0,0,0,8.41372908401489,0,0.25,1,0.25,1,3.1664797782898,-3.1664797782898,7.70250499695539,0,79.1489231587868,189.77413509113,0.333333333,0,0.25,0.75,0,0,0,0,4,9,13,0.0211199894547462,-0.0143599985167384,0.0354799851775169,0.467000007629395,0.0502150505781174,0.454499989748001,0.370000004768372,0.370000004768372,0.211999997496605,1,1,0.0359222739934921,0.0105463507174925,0,0,0.38461538,92.4,0.61538462,86,NA,NA,NA,0.253476470708847,-0.00569762289524078,NA,5.06952941417694,-0.0712202861905098,NA,0.2,0.625,0.46153846,1,1,1,0.61538462,0.5,0,2,1,1,0,3,1,4,0.5,0.25,0.25,0,0.75,0.25,0.902599846760432,77.37438,31.30001,80,57.61604,80,43.19727,67.80344,52.30576,80,71.53616,63.26737,80,-1.21255,2.25827,138.52,180.58,196.16,140.36,108.54,162.82,111.3775,107.515,116.34,122.383076923077,113.450769230769,136.781538461538,0.07692308,0.30769231,0.61538462,92.8000030517578,92.1750030517578,85.8625030517578,6.3948392868042,10.5503330230713,-2.78779768943787,7.63518857955933,1.5774667263031,2.59886145591736,0,0.25739511102438,-0.00833634659647942,0,6.43487777560949,-0.104204332455993,0.2,0.625,0.46153846,1,1,1,0.61538462,21.55555556,0.07692308,NA,0.30769231,0.61538462,92.938102722168,NA,92.290901184082,85.9527359008789,5.52136993408203,NA,9.84566974639893,-4.1260871887207,6.54194021224976,NA,0.515676081180573,1.36478066444397,0,NA,0.25739511102438,-0.00833634659647942,0,NA,6.43487777560949,-0.104204332455993,0.33333333,0.57142857,0.46153846,1,1,1,0.53846154,4,78.4183807373047,24.5701808929443,0,0,92.1945,0,0,"2024-09-06",0
"Richard Lovelady",19337,"2024-09-04","MIN",12,2024,"TBR","H",28,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,2,18,9,0,2,0,0,1,0,0,0,0,0,0,0.5,0.25,0.25,3.84572908401489,0,0,1,0,1,2.1664797782898,-2.1664797782898,2.1664797782898,0,53.5534178106164,52.0512824543046,1,0,1,0,0,0,0,0,7,12,19,0.00506798131391406,-0.00339801912195981,0.00846600066870451,0.451999992132187,0.0496430546045303,0.0839599967002869,0.134199991822243,0.134199991822243,NA,0,1,0.02573904953897,0.0346228074535368,0,0,0.68421053,92.92307692,0.31578947,87.16666667,NA,NA,NA,0.497284024953842,-0.0778174102306366,NA,3.82526173041417,-1.29695683717728,NA,0.25,0.85714286,0.47368421,1,0.66666667,0.77777778,0.36842105,0.5,0.10526316,0,1,0,0,0,1,1,0,1,0,0,0,1,1.47213595025559,80,57.44254,80,20,72.89381,20,38.76758,51.02,36.79413,49.3367,57.46188,46.43177,0.16662,4.32702,79.24,177.68,167.36,121.04,-4.45999999999999,7.57999999999998,93.4766666666667,53.1033333333333,46.2366666666667,92.5357894736842,99.9947368421053,95.4726315789474,0.47368421,0.21052632,0.31578947,92.7888861762153,93.125,87.2333374023438,6.60034942626953,11.0307903289795,-0.566399852434794,8.09529283311632,2.50905656814575,2.42715930938721,0.790352247655392,-0.288048837333918,-0.082476519048214,8.78169164061546,-7.20122093334794,-1.37460865080357,0.22222222,0.7,0.47368421,1,0.71428571,0.77777778,0.52631579,17.86666667,0.47368421,NA,0.21052632,0.31578947,92.6769748263889,NA,93.0487518310547,87.1391194661458,6.16441218058268,NA,10.8998994827271,-1.34744723637899,6.63390435112847,NA,0.906758904457092,0.592270612716675,0.790352247655392,NA,-0.288048837333918,-0.082476519048214,8.78169164061546,NA,-7.20122093334794,-1.37460865080357,0.22222222,0.7,0.47368421,1,0.71428571,0.77777778,0.52631579,1,104.142845153809,-2.83551096916199,0,0,104.143,1,1,"2024-09-04",0
"Richard Lovelady",19337,"2024-09-01","SDP",12,2024,"TBR","H",28,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,18,0,0,0,0,2,1,0,0,0,0,0,0,0.4,-0.4,13.2447290840149,0,0,2,0,1,9.16647977828979,-9.16647977828979,10.6784881845117,0,232.721955247809,263.80936394225,2,0,0.666666666,0.333333333,0,0,3,27,12,8,20,0.0536579750478268,-0.029152050614357,0.0828100219368935,0.451999992132187,0.04964305087924,0.900160014629364,1.14326667785645,0.367000013589859,1.46140003204346,1,1,0.023388110101223,0.0362212639831393,0,0,0.7,92.07142857,0.3,86.83333333,NA,NA,NA,-0.595388650894165,0.758042335510254,NA,-4.25277607781546,12.6340389251709,NA,0.1875,0.75,0.3,0.33333333,0.66666667,0.5,0.2,0.2,0.15,2,1,0,0,2,1,3,0.66666667,0.33333333,0,0,0.66666667,0.33333333,7.84877370529358,29.87635,44.83446,21.31714,20,80,20,59.11699,43.43331,74.3038,20,68.94096,20,2.27642,7.49172,90.28,60.96,62.96,128.6,6.35999999999999,36.04,87.66,95.96,100.98,112.486,38.7,58.214,0.1,0.6,0.3,92.25,92.0166625976562,86.5499979654948,6.75635385513306,11.3930498758952,0.426979064941406,9.53058433532715,2.24731413523356,2.95627880096436,-0.0240093097090721,-0.587395396083593,0.767795499414206,-1.20046548545361,-4.89496163402995,12.7965916569034,0.21428571,0.5,0.3,0.33333333,0.66666667,0.5,0.3,19.2,0.1,NA,0.6,0.3,92.3842010498047,NA,92.182118733724,86.7109985351562,6.66821479797363,NA,11.2680333455404,-0.0117148918410142,8.20795440673828,NA,0.550235748291016,1.17129397392273,-0.0240093097090721,NA,-0.587395396083593,0.767795499414206,-1.20046548545361,NA,-4.89496163402995,12.7965916569034,0.21428571,0.5,0.3,0.33333333,0.66666667,0.5,0.3,3,91.8775126139323,14.5681037902832,0,0,105.081,1,0.33333333,"2024-09-01",0
