"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSL%","pivCH","pivFA","pivSL","piCH-X","piFA-X","piSL-X","piCH-Z","piFA-Z","piSL-Z","piwCH","piwFA","piwSL","piwCH/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Carlos Estevez",14542,"2024-09-25","CHC",26,2024,"PHI","H",31,0,0,9,1,0,0,0,0,0,0,0,1,5,2,1,1,0,0,0,0,0,0,0,0,0,18,0,0.5,0,2,1,2,0,1,0,0,0,0,0,5.37832908401489,0,0.4,2,0.4,0.5,3.1664797782898,5.8335202217102,4.67848818451166,217.547775557952,76.5491818091038,114.84853560366,2,0.4,0.4,0.2,0,0,0,0,7,14,21,0.0144520048052073,-0.0181439649313688,0.0325959697365761,-0.499000012874603,-0.0511008650064468,0.298640012741089,0.340999990701675,0.340999990701675,NA,0,1,-0.0408079400658607,0.0892006677266939,0,0,0.38095238,97,0.52380952,89.45454545,NA,NA,0.0952381,89,NA,-0.167573496699333,-0.392288953065872,NA,0.0495179928839207,-2.09466870874166,-3.56626320968975,NA,2.47589964419603,0.3,0.90909091,0.61904762,0.66666667,1,0.92307692,0.52380952,0.6,0.04761905,3,1,1,1,3,1,5,0.6,0.2,0.2,0.2,0.6,0.2,7.34522213229484,68.84451,40.44905,73.96316,NA,NA,NA,42.92832,51.15421,50.29308,74.77246,46.44579,79.4264,64.72312,49.53904,73.94334,-0.78928,2.89317,102.1,99.42,91.64,NA,NA,NA,94.42,101.6,98.06,114.08,122.48,135.54,105.449523809524,112.329523809524,117.080952380952,0.38095238,0.52380952,NA,0.0952381,97.0374984741211,89.4181795987216,NA,89.1999969482422,-4.88238620758057,2.8579892245206,NA,-5.18926763534546,10.6227998733521,1.70112765919078,NA,5.33249092102051,-0.0817682668566704,-0.400453358888626,NA,0.0501701384782791,-1.02210333570838,-3.64048508080569,NA,2.50850692391396,0.25,0.84615385,0.61904762,0.5,1,0.92307692,0.61904762,18.375,0.0952381,0.38095238,0.52380952,89.2075500488281,97.0512619018555,89.4196166992188,-5.3488450050354,-4.86612606048584,3.01152628118342,3.93756484985352,9.33325862884521,0.287534280256792,0.0501701384782791,-0.0817682668566704,-0.400453358888626,2.50850692391396,-1.02210333570838,-3.64048508080569,0.14285714,0.85714286,0.61904762,0,1,0.92307692,0.66666667,5,87.4451232910156,-1.65474243164062,1,0.2,105.982,1,0.2,"2024-09-25",0
"Carlos Estevez",14542,"2024-09-23","CHC",26,2024,"PHI","H",31,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,1,2,0,0,0,0,0,0.2,0.2,0,6.14436908401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,7.19049659073353,0,100.171606488235,175.553036418574,0.5,0,0.333333333,0.666666666,0,0,0,0,6,17,23,0.0144520057365298,-0.0178239718079567,0.0322759784758091,0.500999987125397,0.0513056851923466,0.300559997558594,0.340999990701675,0.340999990701675,NA,0,1,-0.0323363095521927,0.0804199063512392,0,0,0.56521739,97.69230769,0.26086957,88.33333333,NA,NA,0.17391304,90.5,NA,-0.233907327055931,0.320041298866272,NA,-0.108505398035049,-1.79928713119947,5.3340216477712,NA,-2.71263495087624,0.42857143,0.88888889,0.60869565,0.83333333,0.875,0.85714286,0.39130435,0.8,0.08695652,2,1,0,1,0,2,3,0.66666667,0.33333333,0,0.33333333,0,0.66666667,2.38909757733561,32.31931,41.12906,55.65433,NA,NA,NA,72.53276,49.63437,80,64.1208,51.0647,63.74627,65.11442,47.35465,78.46852,-0.81359,2.85671,59.54,51.64,2.63999999999999,NA,NA,NA,101.04,122.9,119.2,136.16,99.72,121.36,102.984347826087,104.46,99.4921739130435,0.56521739,0.26086957,NA,0.17391304,97.6461557241587,88.3499959309896,NA,90.4749984741211,-3.8467771089994,2.50234953562419,NA,-5.9126353263855,9.88819533128005,0.571332375208537,NA,7.51592922210693,-0.240711931139231,0.323981557041407,NA,-0.1131781488657,-1.85163023953254,5.39969261735678,NA,-2.82945372164249,0.45454545,0.75,0.60869565,0.8,0.88888889,0.85714286,0.52173913,18,0.17391304,0.56521739,0.26086957,90.4270248413086,97.60791015625,88.2972310384115,-5.68978023529053,-3.52746992844802,2.76837539672852,5.93657970428467,8.85504678579477,-0.774777968724569,-0.1131781488657,-0.240711931139231,0.323981557041407,-2.82945372164249,-1.85163023953254,5.39969261735678,0.45454545,0.75,0.60869565,0.8,0.88888889,0.85714286,0.52173913,3,87.215077718099,13.802427927653,1,0.33333333,102.119,1,0.33333333,"2024-09-23",0
"Carlos Estevez",14542,"2024-09-18","@MIL",26,2024,"PHI","A",31,0,1,27.000028163224,1,0,0,0,0,0,0,0,0.1,5,2,1,1,0,2,1,0,0,0,1,27.000028163224,54.0000563264481,54.0000563264481,0.5,0,0,1,0,1,0,0,0,0,0.2,0.4,-0.2,10.3902890840149,0,0.666666666666667,12.0000125169885,1,0.75,15.1664922952783,11.8335358679458,15.1664922952783,652.644007434606,360.018573640296,368.298744015354,1,0.5,0.5,0,0,0,0,0,4,10,14,-0.362926006317139,-0.466474026441574,0.103548005223274,-2.07500004768372,-0.213148429989815,3.10413336753845,2.25880002975464,2.25880002975464,NA,0,1,-0.115340247750282,-0.00157676687043148,0,1,0.85714286,98.25,0.14285714,89,NA,NA,NA,NA,0.28571429,-0.511566460132599,-1.0522837638855,NA,NA,-4.26305383443832,-52.6141881942749,NA,NA,0.16666667,1,0.64285714,0,0.625,0.55555556,0.57142857,0.8,0.28571429,1,0,1,0,1,1,2,0.5,0,0.5,0,0.5,0.5,12.1070901576552,NA,NA,NA,NA,NA,NA,41.45738,62.24452,26.47444,55.77732,43.66838,58.581,40.92521,56.33577,28.73287,0.68919,5.11088,NA,NA,NA,NA,NA,NA,130,51.54,71.08,107.5,111.74,125.16,126.785714285714,60.14,78.8057142857143,0.85714286,0.14285714,NA,NA,98.2750040690104,88.9000015258789,NA,NA,-5.40170923868815,1.89300298690796,NA,NA,10.3928260803223,0.727887392044067,NA,NA,-0.523985631763935,-1.05767008662224,NA,NA,-4.36654693136613,-52.8835043311119,NA,NA,0.28571429,1,0.64285714,0,0.71428571,0.55555556,0.5,16.2,NA,0.85714286,0.14285714,NA,98.0293375651042,88.6279983520508,NA,-4.89624341328939,2.56508493423462,NA,9.33003425598145,-0.768880009651184,NA,-0.523985631763935,-1.05767008662224,NA,-4.36654693136613,-52.8835043311119,0.28571429,1,0.64285714,0,0.71428571,0.55555556,0.5,2,94.3588638305664,11.6439504623413,0,0,96.1992,1,0.5,"2024-09-18",0
"Carlos Estevez",14542,"2024-09-14","NYM",26,2024,"PHI","H",31,0,0,0,1,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,2,0,2,0,0,0,0,0,0,0,3.65572908401489,0,0.25,1,0.25,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,76.5491818091038,78.3097583844777,2,0.5,0.5,0,0,0,0,0,5,14,19,0.0737699866294861,-0.0852379575371742,0.15900793671608,0.500999987125397,0.0513056814670563,1.97347986698151,1.50199997425079,1.50199997425079,NA,0,1,0.0235391911119223,0.0138414722856321,1,0,0.47368421,97.44444444,0.47368421,90,NA,NA,0.05263158,90,NA,0.59455543756485,-0.461879730224609,NA,0.118980832397938,6.60617152849833,-5.13199700249566,NA,11.8980832397938,0.5,0.71428571,0.57894737,1,0.8,0.90909091,0.36842105,1,0.05263158,0,4,0,1,2,1,4,0,1,0,0.25,0.5,0.25,9.9622385411886,63.75157,33.69333,68.27607,NA,NA,NA,60.99623,45.88935,63.92742,57.44018,53.99932,67.8011,62.44694,49.67748,71.50496,-0.64787,3.10529,88.72,109.84,69.04,NA,NA,NA,100.96,118.66,109.18,123.66,111.66,134.48,111.068421052632,114.88,119.051578947368,0.47368421,0.47368421,NA,0.05263158,97.3555569118924,89.8555569118924,NA,90.4000015258789,-5.13419765896267,2.49431546529134,NA,-6.75756502151489,9.88076866997613,1.52057509952121,NA,8.45753288269043,0.602707613259554,-0.4700634367764,NA,0.120601363480091,6.69675125843949,-5.22292707529333,NA,12.0601363480091,0.4,0.77777778,0.57894737,1,0.85714286,0.90909091,0.47368421,17.46666667,0.05263158,0.47368421,0.47368421,89.9842987060547,96.996588812934,89.4719373914931,-6.74128007888794,-4.73319668240017,3.04946560329861,7.48600006103516,9.05994669596354,0.15769002172682,0.120601363480091,0.602707613259554,-0.4700634367764,12.0601363480091,6.69675125843949,-5.22292707529333,0.33333333,0.8,0.57894737,1,0.875,0.90909091,0.52631579,4,83.9027404785156,1.89100432395935,0,0,102.624,2,0.5,"2024-09-14",0
"Carlos Estevez",14542,"2024-09-11","TBR",26,2024,"PHI","H",31,0,0,0,1,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,1,0,0,0,0,0,0,0,2.31606242325356,0,0.333333333333333,1,0.333333333333333,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,76.5491818091038,78.3097583844777,2,0.333333333,0.666666666,0,0,0,0,0,3,7,10,0.162445977330208,-0.0820440202951431,0.244489997625351,0.500999987125397,0.0513056851923466,2.56909990310669,2.87139987945557,2.87139987945557,NA,0,1,0.0474871061742306,0.01574359074564,1,0,0.6,97.33333333,0.2,91,NA,NA,0.2,90,NA,0.218714088201523,-0.502868592739105,NA,0.244372054934502,3.64523480335871,-25.1434296369553,NA,12.2186027467251,0,0.66666667,0.4,NA,1,1,0.6,1,0,2,1,0,0,2,1,3,0.66666667,0.33333333,0,0,0.66666667,0.33333333,6.29370570369855,80,42.98721,80,NA,NA,NA,41.04824,50.60139,42.36411,20,38.08334,20,45.71375,44.4939,52.46647,0.3917,4.66464,73.26,192.96,172.34,NA,NA,NA,91.58,77.5,71.06,103.7,75.8,86.18,90.34,100.252,94.34,0.6,0.2,NA,0.2,97.2166646321615,90.8999938964844,NA,89.6999969482422,-5.04545084635417,2.86626625061035,NA,-6.88344287872314,9.49037869771322,2.26285719871521,NA,5.82577037811279,0.220903340727091,-0.510574247688055,NA,0.24794040620327,3.68172234545151,-25.5287123844028,NA,12.3970203101635,0,0.66666667,0.4,NA,1,1,0.6,19,0.2,0.6,0.2,89.4633026123047,96.9729817708333,90.6333465576172,-6.62624502182007,-4.60894838968913,3.57114005088806,4.63290023803711,8.62656339009603,0.725166499614716,0.24794040620327,0.220903340727091,-0.510574247688055,12.3970203101635,3.68172234545151,-25.5287123844028,0,0.66666667,0.4,NA,1,1,0.6,3,89.8157653808594,-5.72472445170085,0,0,107.023,2,0.66666667,"2024-09-11",0
"Carlos Estevez",14542,"2024-09-09","TBR",26,2024,"PHI","H",31,1,0,9,1,0,0,0,0,0,0,1,1,5,2,1,1,1,0,0,0,0,0,0,0,0,18,0,0,0,0,3,2,0,0,0,0,0,0,0,9.18472908401489,9,0.4,2,0.25,1,16.1664797782898,-7.16647977828979,7.70250499695539,217.547775557952,383.64070263781,187.926090042024,0,0.4,0,0.6,0,0.333333333,1,9,10,17,27,-0.200034022331238,-0.407080054283142,0.207046046853065,-0.499000012874603,-0.0511008687317371,2.38303327560425,2.87139987945557,2.87139987945557,NA,0,1,-0.0791530162096024,-0.00478791083453078,0,1,0.62962963,97.47058824,0.14814815,89.25,NA,NA,0.22222222,90,NA,-1.26662707328796,0.0709139555692673,NA,0.070823609828949,-7.4507474899292,1.77284888923168,NA,1.18039349714915,0.23076923,0.85714286,0.55555556,0.66666667,0.91666667,0.86666667,0.51851852,0.2,0.07407407,0,2,3,1,2,2,5,0,0.4,0.6,0.2,0.4,0.4,24.2002129802028,53.26587,44.47836,66.58664,NA,NA,NA,40.4672,52.37403,37.49461,20,50.42378,20,34.73837,48.43675,38.03962,1.07356,5.68743,83.24,124.04,103.2,NA,NA,NA,108.06,92.92,96.46,120.1,46.06,67.52,104.328148148148,92.8933333333333,93.6703703703704,0.62962963,0.14814815,NA,0.22222222,97.4352955537684,89.2750015258789,NA,89.7999979654948,-4.83654381247128,2.88601970672607,NA,-6.61103057861328,10.4069240794462,2.19872641563416,NA,6.84353256225586,-1.22456148266792,0.113218408077955,NA,0.0711814388632774,-7.20330283922308,2.83046020194888,NA,1.18635731438796,0.25,0.8,0.55555556,0.66666667,0.91666667,0.86666667,0.55555556,18.40909091,0.22222222,0.62962963,0.14814815,89.3839518229167,97.0507094439338,88.871452331543,-6.31488482157389,-4.4067876479205,3.49431252479553,5.49367523193359,9.3634131936466,0.889005959033966,0.0711814388632774,-1.22456148266792,0.113218408077955,1.18635731438796,-7.20330283922308,2.83046020194888,0.25,0.8,0.55555556,0.66666667,0.91666667,0.86666667,0.55555556,5,91.4422729492187,28.0126678466797,1,0.2,106.69,2,0.4,"2024-09-09",0
"Carlos Estevez",14542,"2024-09-04","@TOR",26,2024,"PHI","A",31,0,0,0,1,0,0,0,0,1,0,0,1,4,0,0,0,0,1,0,0,0,0,2,18,9,0,2,0,0,1,0,0,0,0,0,0,0.5,0.25,0.25,3.84572908401489,0,0,1,0,1,2.1664797782898,-2.1664797782898,2.1664797782898,0,52.9267571299725,54.144034788745,1,0,1,0,0,0,0,0,9,10,19,0.0863640010356903,-0.0314980000257492,0.11786200106144,0.479000002145767,0.0506074987351894,1.31164002418518,1.76919996738434,1.76919996738434,NA,0,1,0.0223761592060328,0.0434681269115257,1,0,0.57894737,97.09090909,0.36842105,89,NA,NA,0.05263158,89,NA,-0.278018146753311,0.378259569406509,NA,0.319225162267685,-2.52743769775737,5.40370813437871,NA,31.9225162267685,0.21428571,0.6,0.31578947,0.66666667,0.33333333,0.5,0.26315789,0.5,0.15789474,0,0,1,0,1,0,1,0,0,1,0,1,0,1.5284514095499,47.8051,76.6486,39.31461,NA,NA,NA,20,59.90043,20,62.01376,49.33955,71.29808,30.08702,57.58139,21.42376,1.36253,6.12089,30.66,163.52,173.52,NA,NA,NA,110,37.7,46.16,118.98,83.84,103.88,109.132631578947,61.3210526315789,74.1284210526316,0.57894737,0.36842105,NA,0.05263158,97.154541015625,89.0428553989955,NA,89.4000015258789,-4.85657848011364,2.67203957693917,NA,-7.58760595321655,10.4732402454723,1.37764249529157,NA,4.56815052032471,-0.285929832607508,0.381754271686077,NA,0.32400244474411,-2.59936211461371,5.45363245265824,NA,32.400244474411,0.2,0.44444444,0.31578947,0.5,0.5,0.5,0.47368421,15.26666667,0.05263158,0.57894737,0.36842105,89.3798980712891,97.1443536931818,89.0166887555804,-7.07780981063843,-4.46529180353338,3.22162301199777,3.49411010742188,9.57943448153409,0.224808709962027,0.32400244474411,-0.285929832607508,0.381754271686077,32.400244474411,-2.59936211461371,5.45363245265824,0.2,0.44444444,0.31578947,0.5,0.5,0.5,0.47368421,1,68.6312103271484,3.28352737426758,0,0,68.6312,0,0,"2024-09-04",0
"Carlos Estevez",14542,"2024-09-01","ATL",26,2024,"PHI","H",31,1,0,0,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,2,9,0,0,2,0,0,3,1,0,0,0,0,0,0.33333333,0,0.33333333,1.13839575453556,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.92248398140073,0,29.3043324508413,48.2476998026033,3,0,0.75,0.25,0,0,1,4.5,6,13,19,0.621336042881012,-0.000235779458307661,0.621571838855743,2.24600005149841,0.230005130171776,3.50743341445923,2.63860011100769,2.63860011100769,NA,0,1,0.170286312699318,0.00686203752155398,1,0,0.57894737,97.72727273,0.42105263,91,NA,NA,NA,NA,NA,1.0263112783432,0.392392784357071,NA,NA,9.33010253039273,4.90490980446339,NA,NA,0.45454545,0.875,0.63157895,0.4,1,0.75,0.42105263,0.5,0.15789474,2,1,1,0,3,1,4,0.5,0.25,0.25,0,0.75,0.25,-0.295061064640479,NA,NA,NA,NA,NA,NA,60.62255,50.99292,57.82344,55.09074,44.5974,60.62059,61.16567,47.28162,62.97765,-0.56827,3.22469,NA,NA,NA,NA,NA,NA,107.96,125.84,128.5,97.2,106.56,119.42,103.429473684211,117.722105263158,124.676842105263,0.57894737,0.42105263,NA,NA,97.7272727272727,90.9375,NA,NA,-4.80769244107333,2.74484586715698,NA,NA,9.86202378706499,1.81897711753845,NA,NA,1.03843923658133,0.396983407437801,NA,NA,9.44035669619387,4.96229259297252,NA,NA,0.4,0.88888889,0.63157895,0.25,1,0.75,0.47368421,19.69230769,NA,0.57894737,0.42105263,NA,97.6450306285511,90.8143997192383,NA,-4.33363619717685,3.20126128196716,NA,9.04230984774503,0.513178110122681,NA,1.03843923658133,0.396983407437801,NA,9.44035669619387,4.96229259297252,0.22222222,1,0.63157895,0,0.9,0.75,0.52631579,4,89.2107849121094,7.31844234466553,0,0,105.449,1,0.25,"2024-09-01",0
"Carlos Estevez",14542,"2024-08-31","ATL",26,2024,"PHI","H",31,0,0,0,1,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,1,1,0,0,0,0,0,0.5,0,0.5,0.562229084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-17.9405169074213,18.1856412207288,1,0,0.5,0.5,0,0,0,0,2,10,12,0.0330959931015968,-0.00811397470533848,0.0412099659442902,0.500999987125397,0.0513056851923466,0.42085000872612,0.751399993896484,0.751399993896484,NA,0,1,0.0234850142151117,0.0551558136698058,0,0,0.66666667,97.5,0.25,91,NA,NA,0.08333333,91,NA,-0.162425339221954,0.426732122898102,NA,0.054188709706068,-2.03031674027443,14.2244040966034,NA,5.4188709706068,0.6,0.57142857,0.58333333,0.33333333,0.5,0.42857143,0.58333333,0.75,0.33333333,1,0,1,0,1,1,2,0.5,0,0.5,0,0.5,0.5,-1.03242679534027,80,39.43804,80,NA,NA,NA,60.76117,59.59733,51.45881,80,53.69778,80,77.17345,55.40206,74.24673,-1.56277,1.73294,75.64,147.54,123.36,NA,NA,NA,102.66,98.26,105.34,137.7,168.08,189.02,109.168333333333,119.821666666667,127.761666666667,0.66666667,0.25,NA,0.08333333,97.5250015258789,91.1666666666667,NA,90.9000015258789,-4.7172155380249,2.20491806666056,NA,-4.91008043289185,10.2847785949707,1.63585186004639,NA,7.61624193191528,-0.166400991380215,0.431620746850967,NA,0.054773960262537,-2.08001239225268,14.3873582283656,NA,5.4773960262537,0.6,0.57142857,0.58333333,0.33333333,0.5,0.42857143,0.58333333,16.375,0.08333333,0.66666667,0.25,90.7570037841797,97.4084396362305,91.0411376953125,-4.2776198387146,-4.35203742980957,2.8792667388916,6.26047992706299,9.26558208465576,0.161906401316325,0.054773960262537,-0.166400991380215,0.431620746850967,5.4773960262537,-2.08001239225268,14.3873582283656,0.6,0.57142857,0.58333333,0.33333333,0.5,0.42857143,0.58333333,2,99.1789703369141,21.1870555877686,0,0,111.634,1,0.5,"2024-08-31",0
