"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","SF%","SFv","XX%","wFB","wSL","wCB","wSF","wFB/C","wSL/C","wCB/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvFS","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxFS-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxFS-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwFS","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwFS/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSL%","pivCH","pivCU","pivFA","pivSL","piCH-X","piCU-X","piFA-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSL-Z","piwCH","piwCU","piwFA","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Xzavion Curry",25595,"2024-09-28","@TOR",20,2024,"MIA","A",25,1,0,1.8,1,1,0,0,0,0,0,0,5,17,2,1,1,1,1,0,0,0,0,1,1.8,1.8,3.6,1,0,0,5,7,3,0,0,0,0,0.05882353,0.05882353,0,6.37405434298156,1.8,0.125,0.6,0.0714285714285714,1,5.96647977828979,-4.1664797782898,5.48329154700041,42.6237307717268,145.925841859412,134.297191210479,0.714285714,0.2,0.333333333,0.466666666,0,0.142857142,5,9,23,42,65,0.20072203874588,-0.167315989732742,0.368038028478622,1.39499998092651,0.147385105490685,0.889388918876648,1.10828006267548,0.910000026226044,0.709600031375885,1,1,0.136001348495483,0.0896839894772498,0,0,0.55384615,92.30555556,0.24615385,83.4375,0.18461538,73.58333333,0.01538462,84,NA,0.539666473865509,0.261961549520493,1.06513547897339,-0.04739710688591,1.4990735385153,1.63725968450308,8.8761289914449,-4.739710688591,0.28947368,0.59259259,0.41538462,0.90909091,0.9375,0.92592593,0.41538462,0.70588235,0.03076923,4,6,5,4,6,5,15,0.26666667,0.4,0.33333333,0.26666667,0.4,0.33333333,7.32739431696712,56,20,45.05543,20,54.82777,41.68477,47.2908,39.92066,36.80418,43.09846,67.59524,27.78359,80,NA,NA,NA,45.69824,29.40506,53.04161,0.39266,4.66608,93.62,-5.06,-5.66000000000001,93.24,107.16,101,74.3,99.24,74.46,107.28,138.6,122.84,NA,NA,NA,86.2878787878788,107.039090909091,88.5384848484849,0.55384615,NA,0.24615385,0.18461538,0.01538462,92.2166680230035,NA,83.3375015258789,73.5499979654948,84.3000030517578,-2.59026442633735,NA,3.79060029983521,6.27715873718262,-6.15087032318115,10.495357937283,NA,-0.159612908959389,-7.62957700093587,6.21282577514648,0.54009160399437,NA,0.327847022563219,1.07781839370728,-0.0483221560716629,1.50025445553992,NA,2.04904389102012,8.98181994756063,-4.83221560716629,0.25,0.57575758,0.41538462,0.875,0.94736842,0.92592593,0.50769231,18.93478261,0.01538462,0.18461538,0.55384615,0.24615385,84.1128005981445,73.3135426839193,91.994391547309,83.109992980957,-6.23696994781494,6.81258646647135,-2.27098168267144,4.44145393371582,5.57470989227295,-9.366912206014,9.55743916829427,-1.44441497325897,-0.0483221560716629,1.07781839370728,0.54009160399437,0.327847022563219,-4.83221560716629,8.98181994756063,1.50025445553992,2.04904389102012,0.24242424,0.59375,0.41538462,0.875,0.94736842,0.92592593,0.49230769,15,83.4815185546875,23.0329650878906,0,0,95.9035,2,0.13333333,"2024-09-28",0
"Xzavion Curry",25595,"2024-09-22","ATL",20,2024,"MIA","H",25,0,0,9,1,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,0,0,0,9,0,0,0,2,2,0,0,0,0,0,0,0,0,6.03472908401489,9,0.25,1,0,1,16.1664797782898,-7.16647977828979,6.19049659073353,213.118653858634,392.335266985734,151.387312822842,1,0,0.5,0.5,0,0.5,2,18,3,8,11,-0.0794399902224541,-0.126939997076988,0.0475000068545341,-0.477999985218048,-0.0475621894001961,0.644500017166138,0.986000001430511,0.986000001430511,1.54399991035461,1,1,-0.0949596092104912,-0.0282987121340934,0,1,0.45454545,91.2,0.27272727,83.33333333,0.27272727,72.66666667,NA,NA,NA,-1.21728086471558,0.318301051855087,0.162567242980003,NA,-24.3456172943115,10.6100350618362,5.41890809933344,NA,0.4,1,0.72727273,0.5,1,0.875,0.54545455,0.75,0.09090909,3,0,1,0,2,2,4,0.75,0,0.25,0,0.5,0.5,15.4386750634935,NA,NA,NA,NA,34.18957,33.83201,20,28.83848,33.12904,37.56964,64.65553,21.62557,74.16192,NA,NA,NA,35.36971,22.71332,39.36573,1.03434,5.6286,NA,NA,NA,105.1,87,91,75.6,91.9,70.9,91.34,106.02,116.64,NA,NA,NA,87.9381818181818,94.4145454545454,88.8563636363636,0.45454545,NA,0.27272727,0.27272727,NA,90.9599975585938,NA,83.1666666666667,72.7000020345052,NA,-3.24724235534668,NA,2.56539805730184,6.40280850728353,NA,11.0866622924805,NA,1.842848777771,-6.5112419128418,NA,-1.21631183847785,NA,0.322317838668823,0.164569545537233,NA,-24.326236769557,NA,10.7439279556274,5.48565151790778,NA,0.4,1,0.72727273,0.5,1,0.875,0.54545455,19.14285714,NA,0.27272727,0.45454545,0.27272727,NA,72.6033986409505,90.8720825195312,83.0675354003906,NA,7.57937304178874,-2.41784210205078,3.5128132502238,NA,-8.63197008768717,9.66191024780273,0.36592698097229,NA,0.164569545537233,-1.21631183847785,0.322317838668823,NA,5.48565151790778,-24.326236769557,10.7439279556274,0.4,1,0.72727273,0.5,1,0.875,0.54545455,4,87.5064315795898,14.217812538147,1,0.25,102.231,1,0.25,"2024-09-22",0
"Xzavion Curry",25595,"2024-09-21","ATL",20,2024,"MIA","H",25,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,27.000028163224,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-66.6628329703524,-66.6847344309602,0,0,0,0,0,0,0,0,0,3,3,0.00303999637253582,0,0.00303999637253582,0.108999997377396,0.0108457710593939,0.118000000715256,0.0590000003576279,0.118000000715256,0.141999989748001,1,1,0.0257626809179783,4.90464543978497e-11,0,0,NA,NA,0.66666667,84,0.33333333,71,NA,NA,NA,NA,0.227396890521049,0.0389156937599182,NA,NA,11.3698445260525,3.89156937599182,NA,0,1,0.66666667,NA,1,1,0.66666667,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.86451356943607,NA,NA,NA,NA,80,33.03538,80,NA,NA,NA,80,24.21257,80,NA,NA,NA,80,25.64276,80,-3.1133,-0.59286,NA,NA,NA,101.94,105.28,113.3,NA,NA,NA,107.5,141.26,129.9,NA,NA,NA,105.646666666667,129.266666666667,124.366666666667,NA,NA,0.66666667,0.33333333,NA,NA,NA,83.8000030517578,71.4000015258789,NA,NA,NA,3.93145608901978,7.03684997558594,NA,NA,NA,1.34473824501038,-5.95836067199707,NA,NA,NA,0.229855183511972,0.039364367723465,NA,NA,NA,11.4927591755986,3.9364367723465,NA,NA,0.66666667,0.66666667,NA,1,1,1,25,NA,0.33333333,NA,0.66666667,NA,71.3159027099609,NA,83.7023468017578,NA,8.35404968261719,NA,4.90859985351562,NA,-7.75232982635498,NA,-0.237010478973389,NA,0.039364367723465,NA,0.229855183511972,NA,3.9364367723465,NA,11.4927591755986,NA,0.66666667,0.66666667,NA,1,1,1,0,NA,NA,0,NA,NA,0,NA,"2024-09-21",0
"Xzavion Curry",25595,"2024-09-18","LAD",20,2024,"MIA","H",25,0,0,0,1,0,0,0,0,0,0,0,2.2,8,0,0,0,0,0,0,0,0,0,3,10.1250024139887,0,0,3,0,0,1,1,3,0,0,0,0,0.375,0,0.375,1.50163533401489,0,0,0,0,1,0.916479241847864,-0.916479241847864,1.48348252936518,0,23.9290056758558,37.638912054587,1,0.6,0.2,0.2,0,0,3,10.1250024139887,10,22,32,0.0198199991136789,0,0.0198199991136789,1.74300003051758,0.17343282699585,0.0907500013709068,0.103749997913837,0.171999990940094,0.275999993085861,1,1,0.209472253918648,0.00892993687220486,0,0,0.4375,92,0.28125,84.66666667,0.25,73.375,0.03125,86,NA,0.689926385879517,0.838348209857941,0.591346204280853,-0.0373910665512085,4.92804561342512,9.31498010953267,7.39182755351067,-3.73910665512085,0.38888889,0.85714286,0.59375,0.71428571,0.75,0.73684211,0.4375,0.5,0.15625,3,1,1,2,0,3,5,0.6,0.2,0.2,0.4,0,0.6,4.17467829274867,NA,20,31.23343,20,23.83725,38.24347,25.20378,48.90467,35.5933,53.01953,55.1466,24.54228,68.17791,NA,NA,NA,39.52455,26.92441,46.67855,0.77621,5.24141,105.94,66.32,49.84,99.32,91.42,76.7,79.4,124.84,93.94,100.94,90.58,90.66,NA,NA,NA,91.7793939393939,103.692727272727,86.2406060606061,0.4375,NA,0.28125,0.25,0.03125,92.0428553989955,NA,84.5,73.5374984741211,86,-3.00067302158901,NA,2.74675962660048,5.70853662490845,-6.86415672302246,10.9258891514369,NA,1.6863932079739,-6.94514274597168,4.15819406509399,0.697825819253922,NA,0.891008224338293,0.597978558391333,-0.0380783230066299,4.98447013752801,NA,9.90009138153659,7.47473197989166,-3.80783230066299,0.35294118,0.86666667,0.59375,0.66666667,0.76923077,0.73684211,0.46875,19.30434783,0.03125,0.25,0.4375,0.28125,85.793701171875,73.3667526245117,91.8751918247768,84.3457438151042,-6.62392997741699,6.74642753601074,-2.22736276899065,3.60803010728624,2.68052005767822,-9.30503749847412,9.43726239885603,-0.0313005910979377,-0.0380783230066299,0.597978558391333,0.697825819253922,0.891008224338293,-3.80783230066299,7.47473197989166,4.98447013752801,9.90009138153659,0.41176471,0.8,0.59375,0.57142857,0.83333333,0.73684211,0.46875,5,87.5174011230469,21.7681350708008,1,0.2,109.253,2,0.4,"2024-09-18",0
"Xzavion Curry",25595,"2024-09-11","@PIT",20,2024,"MIA","A",25,0,0,0,1,0,0,0,0,0,0,0,4.2,16,2,0,0,0,0,0,0,0,0,3,5.78571507395541,0,3.85714338263694,3,0,0,4,7,2,2,0,0,0,0.1875,0,0.1875,3.86925642776489,0,0.125,0.42857148695966,0.153846153846154,1,1.88076531741082,-1.88076531741082,4.14877823573585,0,47.2240230814229,102.047711395634,0.571428571,0.153846153,0.307692307,0.538461538,0.285714285,0,0,0,23,36,59,0.112328000366688,-0.0179840102791786,0.130312010645866,2.66400003433228,0.265470862388611,0.345800012350082,0.397108316421509,0.711399972438812,0.335200011730194,1,1,0.269898802042007,0.0549363522522287,1,0,0.42372881,91.72,0.27118644,84.4375,0.28813559,73.52941176,0.01694915,88,NA,0.347783237695694,1.54368829727173,0.615993976593018,-0.0238054171204567,1.39113295078278,9.6480518579483,3.62349397995893,-2.38054171204567,0.35135135,0.72727273,0.49152542,0.69230769,0.8125,0.75862069,0.37288136,0.5,0.11864407,2,5,6,5,3,5,13,0.15384615,0.38461538,0.46153846,0.38461538,0.23076923,0.38461538,1.13725134826153,NA,20,33.18117,63.56129,54.94912,39.52782,60.63716,30.97901,35.85079,35.49434,46.49197,27.44062,57.59261,NA,NA,NA,37.46132,28.46192,48.0962,0.90439,5.43368,73.28,87.26,59.4,85.7,124.94,116.12,77.44,105.9,82,98.86,112.4,109.44,NA,NA,NA,85.5583050847458,112.832881355932,98.8894915254237,0.42372881,NA,0.27118644,0.28813559,0.01694915,91.672001953125,NA,84.2937469482422,73.4529383042279,87.5,-2.23074157714844,NA,3.55602598190308,5.7495413387523,-7.57296180725098,10.5195715332031,NA,0.65187132358551,-6.78123878030216,8.07021331787109,0.348181985318661,NA,1.54409785568714,0.609675232321024,-0.0242429338395596,1.39272794127464,NA,9.65061159804463,3.58632489600602,-2.42429338395596,0.22580645,0.78571429,0.49152542,0.57142857,0.81818182,0.75862069,0.47457627,19.02325581,0.01694915,0.28813559,0.42372881,0.27118644,87.3539962768555,73.3057143267463,91.54818359375,84.1565170288086,-7.15561008453369,6.1554978314568,-1.89181335449219,4.05115985870361,6.42307996749878,-8.30954248764936,9.35654052734375,-0.696157097816467,-0.0242429338395596,0.609675232321024,0.348181985318661,1.54409785568714,-2.42429338395596,3.58632489600602,1.39272794127464,9.65061159804463,0.28571429,0.67741935,0.49152542,0.625,0.80952381,0.75862069,0.52542373,13,84.5964918870192,27.7022306002103,1,0.07692308,104.361,5,0.38461538,"2024-09-11",0
"Xzavion Curry",25595,"2024-09-06","PHI",20,2024,"MIA","H",25,0,0,36,1,0,0,0,0,0,0,0,1,8,4,4,4,1,1,0,0,0,0,2,18,9,36,2,0,0,0,4,1,0,0,0,0,0.25,0.125,0.125,5.52710408401489,9,0.571428571428571,5,0.75,0.27777778,15.1664797782898,20.8335202217102,8.21451340317726,852.474615434536,368.177480208643,200.299143665473,0,0.2,0,0.8,0,0.25,0,0,8,19,27,-0.00161999987903982,-0.00257999985478818,0.000960000033956021,-3.4779999256134,-0.346069663763046,0.0117499995976686,0.0139999995008111,0.0139999995008111,0.00999999977648258,1,1,-0.0658571273088455,-0.0720152075430853,0,0,0.59259259,91.4375,0.18518519,83.4,0.22222222,73.16666667,NA,NA,NA,-1.11619353294373,-0.883440256118774,-1.2166200876236,NA,-6.97620958089828,-17.6688051223755,-20.2770014603933,NA,0.5,0.66666667,0.55555556,0.88888889,1,0.93333333,0.33333333,0.875,0.03703704,1,3,1,0,1,4,5,0.2,0.6,0.2,0,0.2,0.8,10.3819409785503,NA,NA,NA,NA,64.37654,40.22889,67.27663,43.76224,36.40068,51.86058,50.30481,29.07922,66.00918,NA,NA,NA,47.579,28.40454,60.0959,0.27582,4.49082,NA,NA,NA,82.88,139.64,103.16,82.02,90.54,67.34,109.92,137.78,130.02,NA,NA,NA,87.3777777777778,110.199259259259,86.9074074074074,0.59259259,NA,0.18518519,0.22222222,NA,91.3312530517578,NA,83.5200012207031,73.0666656494141,NA,-2.1622474193573,NA,3.79117240905762,6.95969518025716,NA,10.7639532089233,NA,0.348785495758057,-6.27716318766276,NA,-1.12994604557753,NA,-0.893407613039017,-1.21570650115609,NA,-7.06216278485954,NA,-17.8681522607803,-20.2617750192682,NA,0.55555556,0.55555556,0.55555556,0.9,1,0.93333333,0.33333333,20.26315789,NA,0.22222222,0.59259259,0.18518519,NA,73.5315653483073,91.8234405517578,83.9762573242188,NA,7.22830454508464,-1.72950971126556,4.52338180541992,NA,-8.03863143920898,9.20942306518555,-1.58565063476562,NA,-1.21570650115609,-1.12994604557753,-0.893407613039017,NA,-20.2617750192682,-7.06216278485954,-17.8681522607803,0.52941176,0.6,0.55555556,0.88888889,1,0.93333333,0.37037037,5,101.493121337891,23.4515762329102,3,0.6,108.719,4,0.8,"2024-09-06",0
"Xzavion Curry",25595,"2024-09-05","PHI",20,2024,"MIA","H",25,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,1,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,29.9684653293782,103.055865631376,0,0,0,1,0.5,0,1,9,5,8,13,0.008500000461936,0,0.008500000461936,0.522000014781952,0.0519402995705605,0.109333328902721,0.141999989748001,0.141999989748001,0.141999989748001,1,1,0.077578954398632,0.000164955415902321,0,0,0.38461538,91.8,0.38461538,82,0.23076923,73.33333333,NA,NA,NA,0.0975206792354584,0.37418395280838,0.311781853437424,NA,1.95041358470917,7.4836790561676,10.3927284479141,NA,0.3,0.66666667,0.38461538,0.33333333,1,0.6,0.23076923,1,0.15384615,1,0,1,1,1,0,2,0.5,0,0.5,0.5,0.5,0,-1.54386628695456,NA,NA,NA,NA,20,38.54179,20,55.4296,37.83942,67.42687,20,26.45863,23.70905,NA,NA,NA,20,29.01222,20,2.65047,8.0528,NA,NA,NA,88.76,-50.14,-52.92,63.12,112.84,86.24,98.26,60.24,48.3,NA,NA,NA,82.5523076923077,54.9984615384615,39.5338461538462,0.38461538,NA,0.38461538,0.23076923,NA,91.6200012207031,NA,81.9400024414062,73.1333312988281,NA,-3.29585304260254,NA,3.62059898376465,7.61366653442383,NA,10.0972831726074,NA,-0.43173131942749,-5.75754547119141,NA,0.0984566435217857,NA,0.366345673799515,0.298589572310448,NA,1.96913287043571,NA,7.3269134759903,9.95298574368159,NA,0.33333333,0.5,0.38461538,0.33333333,1,0.6,0.30769231,18.7,NA,0.23076923,0.38461538,0.38461538,NA,73.6841328938802,92.1656616210937,82.4745788574219,NA,7.68093999226888,-2.95465202331543,4.21324996948242,NA,-7.45469029744466,8.5745979309082,-2.37479095458984,NA,0.298589572310448,0.0984566435217857,0.366345673799515,NA,9.95298574368159,1.96913287043571,7.3269134759903,0.33333333,0.5,0.38461538,0.33333333,1,0.6,0.30769231,2,85.3685455322266,58.0800933837891,0,0,101.046,1,0.5,"2024-09-05",0
